date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2024-11-21,1242985.9959114322,1279030.0958178486,1045953.5322127306,1329775.5977469438,1281778.160623985,1156850.6041837067,1241499.087096604,1176594.615513565
2024-11-22,1258406.4091393107,1305688.4173834766,1048087.039491173,1359140.0014391893,1298923.869623619,1169543.1007981629,1255200.104625138,1183377.1944949646
2024-11-25,1251601.4507278842,1295988.2862725337,1060526.7886328662,1357717.8196669572,1287726.4132790144,1182045.950966391,1259176.4637121283,1191833.5156371612
2024-11-26,1252265.0136393374,1285059.6645730822,1070435.9644446338,1338134.9434443468,1287032.4101509626,1181753.935631308,1231264.5687345588,1181695.374058487
2024-11-27,1242881.133931015,1277873.2714797233,1054379.851121422,1322305.8176642412,1259259.3708595808,1160312.3189874024,1222436.5273126685,1167199.4523723144
2024-11-28,1229755.725263851,1273291.571946421,1044893.10177755,1322938.254485225,1252058.2889961775,1160647.4191403715,1214335.5693258368,1160066.3123099823
2024-11-29,1233501.0989597968,1276733.2049657996,1047911.329297539,1313698.952122783,1256081.072802025,1158173.9195676178,1221824.301848801,1158365.8603751678
2024-12-02,1278961.488400753,1341025.5164395126,1079679.1230635608,1344667.7553893083,1292626.5625710066,1189871.2285867066,1283711.3971056067,1184389.066061737
2024-12-03,1282773.6993005618,1351127.5673800795,1079344.4012389148,1360897.7653475755,1294156.2436928328,1197670.775436911,1295005.2507585608,1192588.4649016876
2024-12-04,1300301.6243088285,1379083.46145587,1097785.8648924793,1372859.5809317585,1308441.7810082014,1212779.289639029,1343436.3352026069,1207020.7132422943
2024-12-05,1288350.2833386096,1365753.0930880683,1087955.238599297,1370464.1288844105,1309884.2350792463,1208410.0047574372,1330132.50247136,1199956.5771224517
2024-12-06,1283417.464024866,1357460.7766563057,1084655.74473333,1373830.4394770616,1309164.5321373518,1204515.87587789,1338648.8274797522,1199622.802773239
2024-12-09,1299058.2500704974,1377065.625398394,1080557.9291205371,1381668.5798407549,1320059.5827049788,1197314.6655392975,1356646.222478303,1199177.1616027374
2024-12-10,1293681.8274754428,1381467.2797871383,1078259.2094550098,1373119.9327212328,1326537.49070211,1192809.458641562,1356724.9650148477,1194800.0848891754
2024-12-11,1300968.8203368548,1399043.2764911407,1089288.4877219163,1367587.0775290483,1329020.5618385847,1189665.2305302948,1380686.9859594428,1194452.8411643524
2024-12-12,1302699.9121736696,1406421.1299305025,1096034.6293959585,1378399.1346903795,1340968.6872276838,1204810.0609822602,1383181.519732865,1195390.5624969024
2024-12-13,1324466.4842914925,1442192.3840770782,1106340.0353369678,1384041.6568804735,1358080.0865273054,1208646.9901280731,1419530.8807939612,1197869.2308013458
2024-12-16,1310517.3221949232,1434358.2277183323,1096325.8958411182,1391370.9404459947,1341261.626261192,1206787.4272084564,1433266.710105332,1194570.9779174346
2024-12-17,1308901.1780069617,1441704.5679291594,1099785.8579726184,1377530.3587466234,1355028.0251488264,1204515.9902901978,1419918.2357057654,1191998.1554706115
2024-12-18,1316362.2333319262,1446193.354549124,1115165.7811408008,1390178.6612292284,1363203.1994423445,1219225.7362561554,1443659.6182130896,1198671.5142257232
2024-12-19,1310708.185114378,1447076.00240259,1104082.3266425098,1370841.4800559038,1349717.4222588118,1205695.9221463532,1438322.069425019,1189830.697293045
2024-12-20,1303416.5757426776,1427014.2364692404,1096925.3516478504,1343214.5272570604,1333749.7288384016,1185603.541975531,1403638.4834970557,1174752.4328677673
2024-12-23,1327298.9982857665,1448942.4951466506,1114241.041280266,1385078.789908504,1359407.948313194,1216535.259729895,1432087.070065888,1197194.2001693267
2024-12-24,1324857.0213122196,1437262.9465745357,1111323.7565436328,1391785.5282927507,1358748.6051506577,1218018.669388327,1413891.8124631965,1198811.7930419464
2024-12-25,1326014.833990297,1439275.583236401,1118365.7996802295,1391981.2667761797,1360018.6871208723,1226331.8339333865,1411193.7406152808,1200259.7559859771
2024-12-26,1326126.6662593172,1447110.8498447002,1140418.796498772,1395554.6654864303,1374180.6188377913,1244959.4814362854,1433886.8491205298,1202717.034445526
2024-12-27,1343791.3851764926,1473404.2831857416,1141691.8402838672,1402373.8991824144,1384037.9005150374,1241121.1672463743,1469514.1567873084,1209009.0334460754
2024-12-30,1329952.2904830491,1458454.796250994,1138035.2274031604,1400842.1249266618,1379296.2020897444,1240972.862545523,1454844.3623975837,1201988.0424888153
2024-12-31,1329151.281199983,1457553.084157389,1145355.4388899768,1386287.2813368791,1376212.8979515608,1239616.4430680603,1452392.2236475074,1197241.3129603881
2025-01-02,1308372.634428728,1422528.6947712272,1123451.4371390308,1363792.384097194,1341682.9395622786,1218506.0304932925,1410371.107995423,1183588.3049876709
2025-01-03,1325733.4930358236,1429220.932346022,1123343.300355431,1370649.3692770952,1353917.138033348,1217951.2859330506,1411751.0516656958,1181106.3851058502
2025-01-06,1350972.5358476522,1470336.1346114029,1148676.3776679004,1410847.480872249,1386725.811830955,1258657.7274098725,1446713.1987566077,1205208.2436015625
2025-01-07,1366215.5240267753,1489663.308550667,1149483.3672881091,1424627.006339168,1423441.9691490706,1260521.4568162293,1434351.8447488868,1212129.5557944793
2025-01-08,1357573.9285159109,1478614.3054167826,1137766.0080847703,1404203.3664885515,1412276.8873238142,1240115.2642255158,1423378.3132452094,1204296.3608939666
2025-01-09,1331406.7848325078,1448623.8356392025,1120190.627851006,1385134.3238707536,1382422.2907814558,1228490.0749401192,1396341.2780832374,1185622.5593078155
2025-01-10,1321370.6670814932,1449960.619196955,1141758.5466055835,1382850.8157301897,1384265.595957237,1253884.3738812432,1402636.4249624335,1181730.856163742
2025-01-13,1283955.2606416163,1386933.96205061,1108137.5794196094,1344333.512883281,1331394.1904701765,1216731.5685171532,1343987.0770391547,1151489.8052260894
