date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-04-18,-7,0,-2,12,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-19,-3,0,-4,3,0,0,0,0,0,0,0,0,5,-9,0,0,0,0,0,0,-8,0,0,0,0,0,3,0,0,-3
2024-04-22,-4,0,-3,0,0,0,0,0,0,10,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-3
2024-04-23,-7,0,-2,8,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-24,-7,0,-2,16,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-25,-5,0,-2,3,0,0,0,0,0,6,0,0,0,-7,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-26,-6,0,-1,3,0,0,0,0,0,5,0,0,0,-7,0,0,0,0,0,0,-6,0,0,0,0,0,2,0,0,0
2024-04-29,-7,0,-2,5,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-30,-7,0,0,1,0,0,0,0,0,4,0,0,0,-6,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,-1
2024-05-02,-7,0,-2,16,0,0,0,0,0,7,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-03,-5,0,-2,0,0,0,0,0,0,6,0,0,0,-8,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2
2024-05-06,-5,0,-2,1,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,-2
2024-05-07,-5,0,-2,3,0,0,0,0,0,6,0,0,0,-8,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2
2024-05-08,-6,0,-3,4,0,0,0,0,0,8,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-05-09,-6,0,-3,3,0,0,0,0,0,8,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-05-10,-7,0,-2,5,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-13,-7,0,-2,9,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-14,-7,0,-2,9,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-15,-7,0,-2,10,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-16,-5,0,-2,2,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-2
2024-05-17,-5,0,-2,4,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-2
2024-05-20,-5,0,-2,1,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-2
2024-05-21,-7,0,0,3,0,0,0,0,0,4,0,0,0,-6,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,-1
2024-05-22,-7,0,0,0,0,0,0,0,0,4,0,0,0,-6,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,-1
2024-05-23,-6,0,-2,6,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-05-24,-6,0,-3,17,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-05-27,-5,0,-4,10,0,0,0,0,0,6,0,0,0,-8,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-3
2024-05-28,-6,0,-3,0,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,-2
2024-05-29,-6,0,-3,3,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-05-30,-5,0,-2,1,0,0,0,0,0,5,0,0,0,-7,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-05-31,-5,0,-2,4,0,0,0,0,0,5,0,0,0,-7,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-06-03,-6,0,-3,2,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-2
2024-06-04,-6,0,-3,2,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,-2
2024-06-05,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-06,-6,0,-3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,-2
2024-06-07,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-11,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-12,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-13,-6,0,-3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,-2
2024-06-14,-6,0,-3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,-2
2024-06-17,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-18,-6,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-06-19,-7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1
2024-06-20,-6,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-06-21,-6,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-06-24,-6,0,-1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-06-25,-6,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-06-26,-6,0,-2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,3,0,0,-2
2024-06-27,-6,0,-3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-06-28,-6,0,-3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,3,0,0,-2
2024-07-01,-6,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-2
2024-07-02,-4,0,-4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,0,0,0,0,0,4,0,0,-4
2024-07-03,-4,0,-5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-5
2024-07-04,-2,0,-4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-6,0,0,0,0,0,2,0,0,-3
2024-07-05,-4,0,-5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-5
2024-07-08,-1,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,2,0,0,0
2024-07-09,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,0,0,0
2024-07-10,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,0,0,0
2024-07-11,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
2024-07-12,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,2,0,0,0
2024-07-15,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-16,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,0,0,0
2024-07-17,-1,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,2,0,0,0
2024-07-18,-1,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,2,0,0,0
2024-07-19,-1,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,2,0,0,0
2024-07-22,-4,0,-4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
2024-07-23,-4,0,-4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
2024-07-26,-4,0,-4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
2024-07-29,-4,0,-4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
2024-07-30,-4,0,-4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
